model,accuracy,precision,recall,f1_macro
EfficientNetB0 (fine-tuned),0.9995817066369214,0.9995445897649198,0.999737098240055,0.9996398549464237
EfficientNetB0 (head),0.9949804796430564,0.9945872928332605,0.9955999976274761,0.9948710096876155
CNN + Augmentation,0.9903792526491912,0.9914032407765082,0.9912910623077122,0.9910288850681487
MobileNetV2 (head),0.9866146123814835,0.9829724983741069,0.9871121967205676,0.9843887163271919
SVM + HOG,0.9708588957055214,0.9672082448710307,0.9698879375101735,0.9667078171209038
Custom CNN,0.9598438371444507,0.9654104506580845,0.9543775817345107,0.9568883051377384
